"BehaviorSpace results (NetLogo 6.2.2)"
"b-cell.nlogo"
"experiment"
"10/18/2022 16:03:23:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
,"60","0","117.23788078199968","0","0","0","0","0","60","0","117.237880782","0","0","0","0","0","60","0","117.23788078200003","0","0","0","0","0","60","0","117.23788078200005","0","0","0","0","0","60","0","117.23788078200023","0","0","0","0","0","60","0","117.23788078200008","0","0","0","0","0","60","0","117.23788078199996","0","0","0","0","0","60","0","117.23788078199969","0","0","0","0","0","60","0","117.23788078199999","0","0","0","0","0","60","0","117.23788078200018","0","0","0","0","0"
,"60","0","123.51409270380017","0","0","0","0","0","60","0","123.51409270380046","0","0","0","0","0","60","0","123.5140927038004","0","0","0","0","0","60","0","123.51409270380003","0","0","0","0","0","60","0","123.51409270380033","0","0","0","0","0","60","0","123.51409270380017","0","0","0","0","0","60","0","123.51409270380033","0","0","0","0","0","60","0","123.51409270380002","0","0","0","0","0","60","0","123.51409270380016","0","0","0","0","0","60","0","123.51409270380002","0","0","0","0","0"
,"60","0","129.16268343341977","0","0","0","0","0","60","0","129.16268343341994","0","0","0","0","0","60","0","129.16268343342014","0","0","0","0","0","60","0","129.16268343342045","0","0","0","0","0","60","0","129.16268343342017","0","0","0","0","0","60","0","129.16268343341974","0","0","0","0","0","60","0","129.16268343342023","0","0","0","0","0","60","0","129.1626834334201","0","0","0","0","0","60","0","129.16268343341977","0","0","0","0","0","60","0","129.16268343341994","0","0","0","0","0"
,"60","0","134.24641509007793","0","0","0","0","0","60","0","134.2464150900778","0","0","0","0","0","60","0","134.24641509007796","0","0","0","0","0","60","0","134.24641509007836","0","0","0","0","0","60","0","134.24641509007793","0","0","0","0","0","60","0","134.24641509007796","0","0","0","0","0","60","0","134.24641509007796","0","0","0","0","0","60","0","134.24641509007816","0","0","0","0","0","60","0","134.24641509007796","0","0","0","0","0","60","0","134.2464150900784","0","0","0","0","0"
,"60","0","138.82177358106998","0","0","0","0","0","60","0","138.82177358107","0","0","0","0","0","60","0","138.82177358107006","0","0","0","0","0","60","0","138.82177358107015","0","0","0","0","0","60","0","138.82177358107018","0","0","0","0","0","60","0","138.82177358107018","0","0","0","0","0","60","0","138.82177358107037","0","0","0","0","0","60","0","138.82177358107006","0","0","0","0","0","60","0","138.8217735810699","0","0","0","0","0","60","0","138.82177358107052","0","0","0","0","0"
,"60","0","142.93959622296288","0","0","0","0","0","60","0","142.9395962229634","0","0","0","0","0","60","0","142.9395962229632","0","0","0","0","0","60","0","142.93959622296293","0","0","0","0","0","60","0","142.93959622296325","0","0","0","0","0","60","0","142.9395962229627","0","0","0","0","0","60","0","142.93959622296344","0","0","0","0","0","60","0","142.93959622296322","0","0","0","0","0","60","0","142.93959622296313","0","0","0","0","0","60","0","142.9395962229628","0","0","0","0","0"
,"60","0","146.6456366006668","0","0","0","0","0","60","0","146.64563660066707","0","0","0","0","0","60","0","146.64563660066682","0","0","0","0","0","60","0","146.6456366006668","0","0","0","0","0","60","0","146.64563660066688","0","0","0","0","0","60","0","146.64563660066645","0","0","0","0","0","60","0","146.64563660066693","0","0","0","0","0","60","0","146.6456366006669","0","0","0","0","0","60","0","146.64563660066594","0","0","0","0","0","60","0","146.64563660066676","0","0","0","0","0"
,"60","0","149.98107294060006","0","0","0","0","0","60","0","149.98107294060037","0","0","0","0","0","60","0","149.98107294060006","0","0","0","0","0","60","0","149.98107294060011","0","0","0","0","0","60","0","149.98107294060054","0","0","0","0","0","60","0","149.9810729406","0","0","0","0","0","60","0","149.98107294060006","0","0","0","0","0","60","0","149.98107294059992","0","0","0","0","0","60","0","149.98107294060017","0","0","0","0","0","60","0","149.98107294059986","0","0","0","0","0"
,"60","0","152.98296564654098","0","0","0","0","0","60","0","152.9829656465403","0","0","0","0","0","60","0","152.9829656465407","0","0","0","0","0","60","0","152.98296564654098","0","0","0","0","0","60","0","152.98296564654007","0","0","0","0","0","60","0","152.9829656465399","0","0","0","0","0","60","0","152.98296564653967","0","0","0","0","0","60","0","152.98296564653953","0","0","0","0","0","60","0","152.98296564654026","0","0","0","0","0","60","0","152.98296564653987","0","0","0","0","0"
,"60","0","155.68466908188535","0","0","0","0","0","60","0","155.6846690818859","0","0","0","0","0","60","0","155.68466908188591","0","0","0","0","0","60","0","155.68466908188674","0","0","0","0","0","60","0","155.68466908188583","0","0","0","0","0","60","0","155.6846690818861","0","0","0","0","0","60","0","155.68466908188603","0","0","0","0","0","60","0","155.6846690818864","0","0","0","0","0","60","0","155.68466908188674","0","0","0","0","0","60","0","155.68466908188591","0","0","0","0","0"
,"60","0","158.1162021736975","0","0","0","0","0","60","0","158.11620217369742","0","0","0","0","0","60","0","158.11620217369685","0","0","0","0","0","60","0","158.11620217369762","0","0","0","0","0","60","0","158.1162021736982","0","0","0","0","0","60","0","158.11620217369796","0","0","0","0","0","60","0","158.11620217369793","0","0","0","0","0","60","0","158.11620217369725","0","0","0","0","0","60","0","158.11620217369776","0","0","0","0","0","60","0","158.11620217369742","0","0","0","0","0"
,"59.934349319757814","0","160.30458195632747","0","0","0","0","0","59.14248494919917","0","160.30458195632843","0","0","0","0","0","59.87494973587267","0","160.304581956328","0","0","0","0","0","59.84091924513658","0","160.30458195632835","0","0","0","0","0","59.98588313097931","0","160.3045819563282","0","0","0","0","0","59.999999999997435","0","160.30458195632775","0","0","0","0","0","59.951780966194015","0","160.30458195632727","0","0","0","0","0","59.998182863759716","0","160.304581956328","0","0","0","0","0","59.840930982569056","0","160.30458195632755","0","0","0","0","0","60","0","160.3045819563279","0","0","0","0","0"
,"59.934349319757814","0","162.27412376069458","0","0","0","0","0","59.14248494919917","0","162.2741237606949","0","0","0","0","0","59.87494973587267","0","162.27412376069486","0","0","0","0","0","59.84091924513658","0","162.274123760695","0","0","0","0","0","59.98588313097931","0","162.27412376069523","0","0","0","0","0","59.999999999997435","0","162.27412376069523","0","0","0","0","0","59.951780966194015","0","162.27412376069552","0","0","0","0","0","59.998182863759716","0","162.27412376069458","0","0","0","0","0","59.840930982569056","0","162.27412376069486","0","0","0","0","0","60","0","162.27412376069498","0","0","0","0","0"
