"RandomRuns?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"AutoInoculate?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"bcell-tnfa-apop-threshold","263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",
"second-exposure-amt","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"[reporter]","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)"
,"-0.10036188679053512","832.9306414864217","-0.10036188679053511","832.9306414864226","-0.10036188679053515","832.9306414864245","-0.1003618867905351","832.9306414864209","-0.10036188679053513","832.9306414864236","-0.10036188679053515","832.9306414864259","-0.10036188679053516","832.9306414864183","-0.10036188679053515","832.9306414864235","-0.10036188679053512","832.9306414864228","-0.10036188679053522","832.9306414864225"
,"-0.10832569811148161","857.6375773377804","-0.10832569811148167","857.6375773377788","-0.10832569811148159","857.6375773377799","-0.10832569811148156","857.6375773377806","-0.10832569811148146","857.6375773377794","-0.10832569811148149","857.6375773377794","-0.10832569811148154","857.6375773377772","-0.10832569811148159","857.6375773377769","-0.10832569811148161","857.6375773377803","-0.10832569811148159","857.637577337782"
,"-0.11549312830033331","879.8738196040049","-0.11549312830033356","879.8738196040007","-0.1154931283003336","879.8738196040035","-0.11549312830033338","879.8738196040002","-0.11549312830033354","879.8738196039996","-0.11549312830033344","879.8738196039991","-0.11549312830033341","879.8738196039997","-0.11549312830033347","879.8738196040028","-0.11549312830033355","879.8738196040028","-0.11549312830033354","879.8738196040017"
,"-0.12194381547030018","899.8864376436022","-0.12194381547029996","899.8864376435982","-0.12194381547030017","899.886437643597","-0.12194381547030018","899.8864376435995","-0.1219438154703","899.8864376435979","-0.12194381547030016","899.8864376436027","-0.12194381547030006","899.8864376435973","-0.12194381547030013","899.8864376435988","-0.1219438154703001","899.8864376435979","-0.12194381547030005","899.8864376435968"
,"-0.1277494339232701","917.8977938792418","-0.12774943392327015","917.8977938792402","-0.1277494339232702","917.8977938792408","-0.1277494339232701","917.8977938792403","-0.12774943392327015","917.8977938792398","-0.12774943392327004","917.8977938792412","-0.12774943392327007","917.8977938792427","-0.12774943392327012","917.8977938792407","-0.12774943392327015","917.8977938792406","-0.1277494339232701","917.8977938792441"
,"-0.1329744905309431","934.1080144913145","-0.13297449053094304","934.1080144913145","-0.13297449053094293","934.1080144913168","-0.13297449053094312","934.1080144913177","-0.132974490530943","934.1080144913176","-0.13297449053094298","934.1080144913177","-0.1329744905309432","934.1080144913145","-0.13297449053094318","934.1080144913116","-0.1329744905309431","934.1080144913153","-0.13297449053094298","934.1080144913161"
,"-0.13767704147784882","948.6972130421866","-0.13767704147784873","948.6972130421813","-0.13767704147784884","948.6972130421881","-0.1376770414778489","948.6972130421841","-0.13767704147784868","948.6972130421889","-0.13767704147784887","948.6972130421871","-0.13767704147784882","948.6972130421859","-0.13767704147784865","948.697213042185","-0.13767704147784882","948.6972130421865","-0.13767704147784876","948.6972130421865"
,"-0.15090933733006404","961.8274917379636","-0.15090933733006393","961.8274917379667","-0.15090933733006398","961.8274917379663","-0.150909337330064","961.8274917379672","-0.15090933733006393","961.8274917379682","-0.15090933733006398","961.8274917379676","-0.15090933733006395","961.8274917379671","-0.15090933733006395","961.8274917379641","-0.1509093373300641","961.8274917379671","-0.1509093373300637","961.8274917379633"
,"-0.16281840359705743","973.6447425641697","-0.16281840359705765","973.6447425641709","-0.16281840359705735","973.6447425641677","-0.16281840359705763","973.6447425641647","-0.16281840359705757","973.644742564167","-0.16281840359705751","973.6447425641675","-0.16281840359705743","973.6447425641699","-0.16281840359705743","973.6447425641711","-0.16281840359705754","973.6447425641676","-0.16281840359705718","973.6447425641663"
,"-0.1735365632373519","984.280268307752","-0.17353656323735184","984.2802683077532","-0.17353656323735173","984.280268307751","-0.17353656323735178","984.28026830775","-0.17353656323735195","984.280268307749","-0.1735365632373518","984.2802683077508","-0.17353656323735178","984.2802683077542","-0.1735365632373516","984.28026830775","-0.17353656323735164","984.2802683077514","-0.17353656323735164","984.2802683077495"
